Relay,1
usb cai,2
mUsb cai,2
2N2222/2N3904,2
2N3906,1
opto PC617,1
ATTINY13A-PU,1
De IC 8 chan,1
connector 3 chan,4
R 3k3,1
R 1K,4
R 100,1
R 200,1
R220,1
Led do,1
,
,
De chuyen usb to dip,2
De chuyen mUsb to dip,2
